Bordeaux,France,44.83,-0.57,train,44.83,-0.57,43.3,1.5,1,0
Montpellier (Ã©tape),France,43.701,3.87,train,43.7,3.87,45,4,1,1
Paris,France,48.99484,2.54789,avion,48.99484,2.54789,60,130,1,2
HanoÃ¯,Vietnam,21.02849,105.85004,bus,21.02849,105.85004,21.5,107.1,2,0
Bai Chay,Vietnam,21.01,107.05795,bateau,21,107.05795,20.901,107.201,1,2
Cat Ba,Vietnam,20.75,107.05,bateau,20.7,107.00000,20.901,106.9,2,2
Bai Chay,Vietnam,21.01,107.05795,bus,21.2,106.651,20.8,106.501,1,0
HanoÃ¯,Vietnam,21.02849,105.85004,moto,21.02849,105.85004,21,105.3,2,0
Hoa Binh,Vietnam,20.80905,105.33272,moto,20.80905,105.33272,20.8,105.701,0,2
HanoÃ¯,Vietnam,21.02849,105.85004,moto,21.02849,105.85004,21,105.301,2,1
Yen Bai,Vietnam,21.69901,104.87287,train,22.101,104.501,21.801,104.301,1,2
Lao Cai,Vietnam,22.50451,103.96164,moto,22.601,103.96164,22.5,103.601,2,1
Sa Pa,Vietnam,22.33619,103.84837,moto,22.3,104.5,22.801,104.001,2,2
Coc Pai,Vietnam,22.68159,104.46168,moto,22.68159,104.46168,22.701,104.801,0,1
Nghia Do,Vietnam,22.38513,104.46859,moto,22.351,104.461,22.301,104.101,1,2
Bao Ha,Vietnam,22.17748,104.35670,train,22.001,105,21.401,105.101,2,1
HanoÃ¯,Vietnam,21.02849,105.85004,moto,21.02849,105.85004,20.501,106.201,2,2
Ninh Binh,Vietnam,20.25937,105.97217,bus,20.25937,105.97217,18.501,104.401,2,1
HuÃ©,Vietnam,16.46981,107.57830,moto,16.101,108.101,16.301,108.001,1,1
Hoi An,Vietnam,15.897634,108.366901,moto,15.897634,108.366901,15.601,108.201,0,0
My Son,Vietnam,15.763449,108.124612,moto,15.763449,108.124612,15.901,108.001,2,1
Hoi An,Vietnam,15.897634,108.366901,bus,14.001,109.701,11.501,109.201,1,1
Mui Ne,Vietnam,10.948793,108.293950,moto,10.701,107.601,11.001,107.301,2,1
Ho Chi Minh Ville,Vietnam,10.820340,106.634671,moto,10.801,106.634671,10.801,106.101,2,1
An Binh,Vietnam,10.274105,105.975620,moto,10.274105,105.975620,9.901,106.001,1,1
Can Tho,Vietnam,10.031375,105.785935,moto,10.501,105.101,10,104.501,1,2
Ha Tien,Vietnam,10.381350,104.487117,moto,10.901,104.501,10.901,103.401,2,0
Sihanoukville,Cambodge,10.610317,103.522598,moto,10.401,103.701,10.801,103.701,2,0
Kampot,Cambodge,10.607638,104.183966,moto,10.607638,104.183966,10.551,104.251,2,1
Kep,Cambodge,10.485688,104.291213,moto,10.301,104.601,11.001,104.501,2,2
Phnom Penh,Cambodge,11.564490,104.933570,moto,11.564490,104.933570,12.701,105.501,1,0
Siem Reap,Cambodge,13.400842,103.849897,bus,14.501,100.801,13,102.801,2,0
Ko Chang,Thailande,11.983253,102.351,bateau,11.701,102.201,11.701,102.801,0,0
Ko Chang,Thailande,11.983253,102.351,bus,12.251,102.051,12.501,103,0,0
Bangkok,Thailande,13.768358,100.502865,avion,13.768358,100.502865,15.5,97,0,0
Yangon,Myanmar,16.781628,96.175829,bus,16.781628,96.175829,21.801,93,0,0
Bagan,Myanmar,21.191413,94.899449,voiture,21.191413,94.899449,21.101,95.5,0,0
Mont Popa,Myanmar,20.917840,95.247492,voiture,20.701,95.001,20.901,94.3,0,0
Bagan,Myanmar,21.191413,94.899449,bus,21.191413,94.899449,21.801,96,0,0
Nyaungshwe,Myanmar,20.593928,96.911894,bateau,20.001,96.301,20.001,97.301,0,0
Nyaungshwe,Myanmar,20.593928,96.911894,bus,21.301,97.801,18.5,97.601,0,0
Yangon,Myanmar,16.781628,96.175829,avion,15.001,95.001,12.001,81.001,0,0
Negombo,Sri Lanka,7.238899,79.840991,bus,7.238899,79.840991,7.101,79.841,0,0
Colombo,Sri Lanka,6.933323,79.848029,bus,6.933323,79.848029,6.651,79.901,0,0
Bentota,Sri Lanka,6.424073,79.995132,bus,6.424073,79.995132,6.201,80.051,0,0
Galle,Sri Lanka,6.035562,80.229600,bus,6.035562,80.229600,5.601,80.801,0,0
Udalawale,Sri Lanka,6.460395,80.859007,bus,6.460395,80.859007,7.101,81.001,0,0
Negombo,Sri Lanka,7.238899,79.840991,bus,7.238899,79.840991,7.201,80.601,0,0
Kandy,Sri Lanka,7.290367,80.628713,train,7.501,80.801,7.501,80.201,0,0
Negombo,Sri Lanka,7.238899,79.840991,avion,0.001,77.001,0.001,101.001,0,0
Kuala Lumpur,Malaisie,3.156998,101.697667,bus,3.156998,101.697667,4.301,102.001,0,0
Cameron Highlands,Malaisie,4.481417,101.394767,train,5.001,100.201,5.401,100.801,0,0
Penang,Malaisie,5.395642,100.248163,avion,5.395642,100.248163,5.301,99.301,0,0
Langkawi,Malaisie,6.373031,99.815879,avion,6.373031,99.815879,10,101,0,0
Bangkok,Thailande,13.768358,100.502865,avion,17,100,19,99.201,0,0
Chiang Rai,Thailande,19.903714,99.831965,moto,20.401,100.301,20.501,99.901,0,0
